Player,Avg Approach <100
Jason Dufner (2016),16.75
J.B. Holmes (2016),16.75
Jamie Lovemark (2016),16.75
Harris English (2016),16.75
Freddie Jacobson (2016),16.83
D.A. Points (2016),16.83
Spencer Levin (2016),16.83
Brian Harman (2016),16.83
Camilo Villegas (2016),16.83
Chris Kirk (2016),16.83
Morgan Hoffmann (2016),17
Jordan Spieth (2016),17
Smylie Kaufman (2016),17
Phil Mickelson (2016),17.08
Luke Donald (2016),17.08
Bubba Watson (2016),17.08
Charles Howell III (2016),17.17
Zac Blair (2016),17.17
Scott Piercy (2016),17.25
Adam Hadwin (2016),17.25
Brian Stuard (2016),17.33
Keegan Bradley (2016),17.33
Kelly Kraft (2016),17.33
Ricky Barnes (2016),17.42
Chris Stroud (2016),17.42
Russell Knox (2016),17.42
Will Wilcox (2016),17.42
David Lingmerth (2016),17.42
Michael Kim (2016),17.42
Mark Wilson (2016),17.5
Rory Sabbatini (2016),17.5
Boo Weekley (2016),17.5
Luke List (2016),17.58
Robert Garrigus (2016),17.67
Nick Taylor (2016),17.67
Daniel Summerhays (2016),17.67
Johnson Wagner (2016),17.67
Russell Henley (2016),17.67
J.J. Henry (2016),17.75
Charley Hoffman (2016),17.83
Matt Jones (2016),17.83
David Hearn (2016),17.83
Gary Woodland (2016),17.83
Michael Thompson (2016),17.83
Wes Roach (2016),17.83
Ryan Palmer (2016),17.92
Aaron Baddeley (2016),18
Miguel Angel Carballo (2016),18
Brett Stegmaier (2016),18
Dawie van der Walt (2016),18.08
Steve Marino (2016),18.08
Robert Allenby (2016),18.17
Rod Pampling (2016),18.17
Graham DeLaet (2016),18.17
Kyle Stanley (2016),18.17
Anirban Lahiri (2016),18.17
Jason Gore (2016),18.25
Sung Kang (2016),18.25
Sam Saunders (2016),18.25
Ben Martin (2016),18.25
Alex Cejka (2016),18.33
Hunter Mahan (2016),18.33
Shane Lowry (2016),18.33
Andrew Landry (2016),18.33
Bill Haas (2016),18.42
Paul Casey (2016),18.42
Marc Leishman (2016),18.42
Brendan Steele (2016),18.42
Scott Brown (2016),18.5
Rhein Gibson (2016),18.5
Patton Kizzire (2016),18.5
Steve Wheatcroft (2016),18.58
Carlos Ortiz (2016),18.58
D.H. Lee (2016),18.67
Webb Simpson (2016),18.67
Martin Piller (2016),18.67
Hiroshi Iwata (2016),18.75
James Hahn (2016),18.75
Scott Pinckney (2016),18.75
