Player,StrokeAverage
Mackenzie Hughes (2019),70.907
Sebastián Muñoz (2019),70.907
Nick Watney (2019),70.908
Kiradech Aphibarnrat (2019),70.911
Sam Ryder (2019),70.912
Joel Dahmen (2019),70.932
Troy Merritt (2019),70.95
Shawn Stefani (2019),70.958
Scott Brown (2019),70.96
Si Woo Kim (2019),70.963
C.T. Pan (2019),70.966
Francesco Molinari (2019),70.974
Ryan Moore (2019),70.974
Josh Teater (2019),70.983
Cameron Davis (2019),70.985
Sepp Straka (2019),70.987
Sam Burns (2019),70.995
Danny Lee (2019),70.997
Brian Stuard (2019),70.999
Hank Lebioda (2019),71.002
Brian Harman (2019),71.016
Kevin Tway (2019),71.02
Keith Mitchell (2019),71.021
Dominic Bozzelli (2019),71.023
Roger Sloan (2019),71.034
J.J. Spaun (2019),71.034
Adam Svensson (2019),71.042
Alex Noren (2019),71.046
Harris English (2019),71.055
Bill Haas (2019),71.056
Pat Perez (2019),71.059
Brice Garnett (2019),71.067
Carlos Ortiz (2019),71.069
Kyle Stanley (2019),71.094
Sung Kang (2019),71.101
Richy Werenski (2019),71.104
Max Homa (2019),71.11
Roberto Castro (2019),71.127
Kevin Na (2019),71.144
Trey Mullinax (2019),71.194
Stephan Jaeger (2019),71.201
Austin Cook (2019),71.201
Roberto Díaz (2019),71.207
Luke List (2019),71.223
Wes Roach (2019),71.228
Chase Wright (2019),71.233
Kramer Hickok (2019),71.243
Jimmy Walker (2019),71.262
Andrew Landry (2019),71.265
Patton Kizzire (2019),71.292
Bronson Burgoon (2019),71.295
Ryan Blaum (2019),71.302
Kyoung-Hoon Lee (2019),71.307
Alex Prugh (2019),71.322
Phil Mickelson (2019),71.331
Jason Dufner (2019),71.336
Hudson Swafford (2019),71.35
Brian Gay (2019),71.356
Charley Hoffman (2019),71.361
Patrick Rodgers (2019),71.365
Beau Hossler (2019),71.381
Cameron Champ (2019),71.393
Ben Silverman (2019),71.401
José de Jesús Rodríguez (2019),71.42
Branden Grace (2019),71.421
Scott Stallings (2019),71.443
Julián Etulain (2019),71.453
Chesson Hadley (2019),71.453
Adam Long (2019),71.464
